"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
2021-07-21,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-07-22,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-07-23,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-07-24,"土",,,,,,,,,,,,,,,,,
2021-07-25,"日",,,,,,,,,,,,,,,,,
2021-07-26,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-07-27,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-07-28,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-07-29,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,,"リプラ",,,
2021-07-30,"金",,,"リプラ",,"リプラ","リプラ",,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-07-31,"土",,,,,,,,,,,,,,,,,
2021-08-01,"日",,,,,,,,,,,,,,,,,
2021-08-02,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-08-03,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-08-04,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-08-05,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-08-06,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-08-07,"土",,,,,,,,,,,,,,,,,
2021-08-08,"日",,,,,,,,,,,,,,,,,
2021-08-09,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-08-10,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-08-11,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-08-12,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-08-13,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-08-14,"土",,,,,,,,,,,,,,,,,
2021-08-15,"日",,,,,,,,,,,,,,,,,
2021-08-16,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-08-17,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-08-18,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
